id,first_name,second_name,total_points,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,form,in_dreamteam,news,news_added,now_cost,photo,points_per_game,selected_by_percent,special,squad_number,status,team,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
64,Lloyd,Kelly,0,50.0,25.0,235530,0,0,-1,1,0,2,0.2,0.0,0,0.0,False,Thigh injury - 50% chance of playing,2019-11-11T23:30:19.870065Z,44,235530.jpg,0.0,0.0,False,,d,3,91,4581,18,8623,49,0.0,0.0,Kelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
65,Diego,Rico,51,100.0,100.0,171129,0,0,4,-4,1,2,1.7,1.2,0,1.2,False,,2019-12-21T17:00:13.810253Z,44,171129.jpg,3.0,13.4,False,,a,3,91,1263885,4080,705960,37610,0.3,11.6,Rico,1433,0,2,5,22,0,0,0,6,0,0,5,275,356.4,359.9,67.0,78.6
66,Jack,Simpson,3,,,222434,1,-1,0,0,0,2,1.0,0.5,0,0.5,False,,,40,222434.jpg,1.0,7.9,False,,a,3,91,383206,6142,378400,8307,0.1,0.8,Simpson,167,0,0,0,4,0,0,0,0,0,0,0,25,28.2,12.6,18.0,5.8
67,Callum,Wilson,69,100.0,100.0,75115,0,0,-6,6,1,4,1.7,1.2,2,1.2,False,,2019-12-07T17:00:19.209039Z,74,75115.jpg,3.3,4.7,False,,a,3,91,776773,2935,1631532,6004,0.2,9.3,Callum Wilson,1716,5,3,3,34,0,0,0,4,0,0,4,210,243.2,267.7,422.0,92.7
68,Joshua,King,58,0.0,0.0,78007,0,0,-4,4,1,4,0.0,0.0,0,1.3,False,Hamstring injury - Expected back 09 Feb,2019-12-28T15:00:26.365175Z,61,78007.jpg,3.6,3.5,False,,i,3,91,620437,50,1650524,4297,0.2,9.5,King,1307,3,3,3,18,0,0,0,0,0,0,6,176,264.4,248.2,355.0,86.8
69,Dominic,Solanke,29,100.0,100.0,154566,0,0,-3,3,0,4,1.8,1.3,2,1.3,False,,2019-11-24T12:00:21.142150Z,52,154566.jpg,1.5,0.3,False,,a,3,91,27446,308,46597,344,0.2,5.6,Solanke,1040,0,0,1,23,0,0,0,1,0,0,0,43,76.0,137.3,353.0,56.6
71,Sam,Surridge,1,100.0,100.0,217331,0,0,-2,2,0,4,0.7,0.2,1,0.2,False,,2019-08-07T20:00:14.104634Z,43,217331.jpg,1.0,0.5,False,,a,3,91,48163,1292,77202,762,0.0,0.2,Surridge,15,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.3,2.0,0.3
72,Asmir,Begovic,0,0.0,100.0,40349,0,0,-3,3,0,1,0.5,0.0,0,0.0,False,Joined AC Milan on loan until the end of the season on 13/1. - Expected back 01 Jul,2020-01-13T20:30:12.943407Z,42,40349.jpg,0.0,0.8,False,,n,3,91,12252,146,151464,228,0.0,0.0,Begovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
73,Artur,Boruc,0,,,18726,0,0,-2,2,0,1,0.5,0.0,0,0.0,False,,,43,18726.jpg,0.0,0.3,False,,a,3,91,6885,92,19230,173,0.0,0.0,Boruc,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
74,Mark,Travers,1,,,229600,-1,1,-3,3,0,1,0.7,0.2,1,0.2,False,,,42,229600.jpg,1.0,0.2,False,,a,3,91,2957,370,11677,124,0.0,0.2,Travers,90,0,0,0,3,0,0,0,0,0,2,0,9,15.2,0.0,0.0,1.5
75,Ryan,Fraser,54,100.0,100.0,90105,0,0,-6,6,0,3,2.3,1.8,2,1.8,False,,2019-11-29T10:30:15.625182Z,69,90105.jpg,2.6,2.8,False,,a,3,91,136390,834,1106817,2290,0.3,7.8,Fraser,1508,1,3,4,25,0,0,0,2,0,0,2,211,253.6,426.5,332.0,101.0
76,David,Brooks,0,0.0,0.0,111317,0,0,-2,2,0,3,0.0,0.0,0,0.0,False,Ankle injury - Expected back 22 Feb,2019-07-31T21:00:14.727782Z,63,111317.jpg,0.0,0.1,False,,i,3,91,713,5,18540,29,0.0,0.0,Brooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
77,Junior,Stanislas,3,0.0,100.0,56872,0,0,-1,1,0,3,1.0,0.5,0,0.5,False,Calf injury - Expected back 01 Feb,2020-01-12T20:00:12.983134Z,59,56872.jpg,1.5,0.0,False,,i,3,91,783,23,791,72,0.1,0.5,Stanislas,106,0,0,0,2,0,0,0,0,0,0,0,16,16.0,33.1,19.0,6.8
78,Jordon,Ibe,2,100.0,100.0,103912,0,0,-4,4,0,3,0.5,0.0,0,0.0,False,,2019-12-21T01:00:17.117231Z,46,103912.jpg,1.0,0.2,False,,a,3,91,6312,114,22452,105,0.0,0.4,Ibe,48,0,0,0,1,0,0,0,0,0,0,0,10,6.8,5.4,0.0,1.2
79,Lewis,Cook,26,100.0,100.0,155408,0,0,0,0,0,3,1.7,1.2,1,1.2,False,,2019-06-25T11:30:07.007116Z,50,155408.jpg,1.6,0.0,False,,a,3,91,5440,142,4225,119,0.2,5.2,Lewis Cook,825,0,1,2,16,0,0,0,3,0,0,0,117,118.8,103.3,44.0,26.5
