id,first_name,second_name,team,team_code,total_points,minutes,now_cost,selected_by_percent,points_list,minutes_list
183,Virgil,van Dijk,10,14,98,1890,64,40.1,"[8.0, 2.0, 2.0, 7.0, 2.0, 2.0, 8.0, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 17.0, 1.0, 6.0, 7.0, 0.0, 6.0, 6.0, 7.0, 6.0]","[90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 0.0, 90.0, 90.0, 90.0, 90.0]"
184,Joseph,Gomez,10,14,45,647,52,3.1,"[2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 5.0, 8.0, 0.0, 5.0, 8.0, 6.0, 6.0]","[90.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 5.0, 0.0, 3.0, 1.0, 0.0, 7.0, 90.0, 90.0, 0.0, 90.0, 90.0, 90.0, 90.0]"
185,Joel,Matip,10,14,32,630,52,1.2,"[0.0, 2.0, 9.0, 6.0, 2.0, 2.0, 9.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 0.0, 90.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
186,Dejan,Lovren,10,14,16,669,53,0.2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.0, 0.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 39.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
187,Roberto,Firmino,10,14,100,1710,93,9.6,"[5.0, 8.0, 2.0, 12.0, 8.0, 9.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 9.0, 2.0, 4.0, 2.0, 2.0, 0.0, 12.0, 2.0, 2.0, 9.0]","[85.0, 90.0, 85.0, 84.0, 53.0, 90.0, 86.0, 77.0, 90.0, 90.0, 90.0, 78.0, 88.0, 75.0, 17.0, 90.0, 87.0, 0.0, 90.0, 85.0, 90.0, 90.0]"
188,Divock,Origi,10,14,43,407,52,2.6,"[12.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 13.0, 0.0, 4.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[73.0, 11.0, 0.0, 5.0, 36.0, 0.0, 26.0, 12.0, 59.0, 1.0, 25.0, 0.0, 26.0, 14.0, 72.0, 0.0, 2.0, 0.0, 20.0, 4.0, 12.0, 9.0]"
189,Alisson,Ramses Becker,10,14,51,1103,61,9.1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.0, 2.0, 2.0, 3.0, -1.0, 0.0, 6.0, 6.0, 0.0, 6.0, 6.0, 6.0, 9.0]","[38.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.0, 90.0, 90.0, 90.0, 90.0, 75.0, 0.0, 90.0, 90.0, 0.0, 90.0, 90.0, 90.0, 90.0]"
190,Simon,Mignolet,10,14,0,0,45,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
191,Mohamed,Salah,10,14,126,1529,123,25.4,"[12.0, 3.0, 15.0, 6.0, 9.0, 5.0, 3.0, 2.0, 0.0, 7.0, 2.0, 8.0, 0.0, 3.0, 0.0, 13.0, 16.0, 0.0, 3.0, 3.0, 10.0, 6.0]","[90.0, 78.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 0.0, 84.0, 64.0, 86.0, 0.0, 68.0, 0.0, 90.0, 90.0, 0.0, 69.0, 90.0, 90.0, 90.0]"
192,Sadio,Mané,10,14,143,1663,124,40.0,"[1.0, 13.0, 3.0, 8.0, 15.0, 2.0, 3.0, 12.0, 2.0, 5.0, 12.0, 7.0, 9.0, 2.0, 15.0, 0.0, 6.0, 0.0, 6.0, 11.0, 8.0, 3.0]","[16.0, 90.0, 76.0, 84.0, 90.0, 70.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 0.0, 90.0, 0.0, 90.0, 90.0, 77.0, 80.0]"
193,Alex,Oxlade-Chamberlain,10,14,27,567,62,0.4,"[0.0, 2.0, 1.0, 1.0, 2.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 3.0, 3.0, 0.0, 8.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[0.0, 88.0, 13.0, 19.0, 74.0, 0.0, 1.0, 0.0, 30.0, 0.0, 25.0, 11.0, 63.0, 77.0, 0.0, 86.0, 20.0, 0.0, 0.0, 0.0, 0.0, 60.0]"
194,Xherdan,Shaqiri,10,14,14,174,63,0.2,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.0, 3.0, 69.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
195,Adam,Lallana,10,14,23,310,58,0.1,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 7.0, 0.0, 2.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 1.0, 5.0, 1.0, 1.0]","[0.0, 0.0, 4.0, 0.0, 0.0, 6.0, 0.0, 1.0, 19.0, 0.0, 83.0, 0.0, 0.0, 21.0, 71.0, 0.0, 0.0, 0.0, 8.0, 66.0, 2.0, 29.0]"
